County,District_ID,Population Density,Urban-Rural Classification,Diversity Index,Partisan Voting Index,PerCapitaIncome_2022,MedianListPrice_2024,HS_Grad_or_Higher_2023_5yr_Pct,Value (Percentage of People with a Bachelor's),HighPoint_Elevation_ft,WaterArea_sqmi,AgLand_Acres_2022,Air Pollution (Micrograms per cm^3),Unemployment Rate (%) ,Economic Diversity Index,Mean Travel Time,Mobility (%),Obesity %,log_population
Burke,8,0.278,0.2,1.492,3.355,0.324,0.958,0.444,0.359,0.231,0.112,0.19,0.192,0.44,0.599,0.265,0.727,0.116,11.388925645093464
Cabarrus,5,0.396,0.1,2.384,2.258,0.912,1.131,0.82,0.717,0.166,0.082,0.202,0.232,0.333,0.335,0.596,0.692,0.158,12.388460866768671
Caldwell,8,0.275,0.2,1.136,3.677,0.33,0.983,0.309,0.312,0.245,0.082,0.183,0.188,0.44,0.588,0.397,0.663,0.16,11.29693129580923
Camden,2,0.156,0.1,1.436,3.548,0.986,1.181,0.884,0.499,0.007,0.172,0.197,0.121,0.176,0.894,0.825,0.0,0.158,9.3180281773931
Carteret,2,0.256,0.4,1.084,3.355,1.232,1.598,0.868,0.628,0.051,0.24,0.2,0.105,0.296,0.508,0.345,0.76,0.114,11.150735340343386
Caswell,0,0.171,0.5,2.104,2.71,0.214,0.906,0.362,0.225,0.165,0.088,0.21,0.183,0.44,0.813,0.733,0.673,0.167,10.03482278536615
Catawba,13,0.352,0.2,1.824,3.226,0.946,1.088,0.582,0.479,0.195,0.129,0.2,0.209,0.37,0.435,0.296,0.653,0.142,12.011546919897313
Chatham,9,0.245,0.2,1.94,1.548,2.0,1.989,0.744,0.855,0.16,0.146,0.22,0.192,0.0,0.521,0.683,0.536,0.101,11.30987861535514
Cherokee,1,0.19,0.5,0.876,3.806,0.174,1.057,0.798,0.463,0.238,0.121,0.172,0.126,0.474,0.6,0.397,0.692,0.111,10.307585059236986
Chowan,6,0.207,0.5,2.128,2.645,0.802,0.835,0.576,0.47,0.047,0.168,0.206,0.105,0.44,0.718,0.669,0.804,0.205,9.53899642739739
Clay,1,0.176,0.5,0.704,3.613,0.264,1.34,0.716,0.612,0.242,0.103,0.154,0.125,0.474,0.752,0.351,0.673,0.125,9.381263883817768
Cleveland,1,0.295,0.4,1.836,3.097,0.366,0.787,0.582,0.384,0.215,0.093,0.217,0.216,0.44,0.475,0.392,0.643,0.189,11.526611384074792
Columbus,7,0.174,0.5,2.248,3.032,0.3,0.644,0.525,0.192,0.086,0.132,0.223,0.147,0.37,0.568,0.519,0.643,0.203,10.822195360925887
Craven,2,0.26,0.4,2.148,2.645,0.896,0.97,0.82,0.504,0.057,0.17,0.216,0.105,0.44,0.457,0.193,0.76,0.162,11.536554097099938
Cumberland,9,0.37,0.2,2.74,1.484,0.408,0.81,0.863,0.53,0.14,0.104,0.203,0.161,0.44,0.314,0.206,0.973,0.196,12.730475677709851
Currituck,2,0.246,0.1,1.172,3.548,1.164,1.696,0.932,0.572,0.052,0.209,0.185,0.121,0.0,0.749,1.0,0.536,0.148,10.360690856048707
Dare,2,0.226,0.4,0.984,2.581,1.856,1.817,1.0,0.789,0.07,0.25,0.0,0.116,0.091,0.736,0.213,0.494,0.091,10.548231993867907
Davidson,3,0.33,0.2,1.58,3.548,0.516,0.922,0.593,0.373,0.177,0.128,0.206,0.224,0.474,0.503,0.437,0.523,0.148,12.071420625236948
Davie,11,0.274,0.2,1.3,3.484,1.216,0.859,0.76,0.521,0.171,0.085,0.207,0.224,0.405,0.649,0.513,0.653,0.143,10.705466716232126
Duplin,10,0.184,0.5,2.532,2.839,0.726,1.056,0.254,0.277,0.096,0.101,0.246,0.116,0.44,0.766,0.492,0.663,0.206,10.810131907358478
Durham,12,0.444,0.2,2.756,0.0,1.158,1.313,0.76,0.917,0.16,0.123,0.158,0.183,0.405,0.512,0.32,0.908,0.12,12.727517683194035
Edgecombe,10,0.223,0.3,2.236,1.161,0.262,0.26,0.403,0.25,0.088,0.062,0.228,0.156,1.0,0.684,0.302,0.508,0.218,10.79614111464413
Forsyth,11,0.426,0.2,2.488,1.548,1.106,0.976,0.716,0.704,0.174,0.096,0.18,0.216,0.474,0.208,0.252,0.838,0.112,12.881363852832905
Franklin,6,0.272,0.1,2.22,2.452,0.408,1.207,0.593,0.467,0.146,0.083,0.218,0.183,0.296,0.663,0.825,0.508,0.197,11.251573687764477
Gaston,4,0.396,0.1,2.024,2.839,0.56,0.945,0.616,0.504,0.192,0.112,0.184,0.228,0.44,0.389,0.503,0.804,0.178,12.3768359961987
Gates,2,0.122,0.1,2.02,2.581,0.572,0.81,0.7,0.0,0.067,0.1,0.205,0.126,0.405,0.883,0.996,0.767,0.189,9.244065241377804
Graham,1,0.114,0.5,1.032,4.0,0.222,1.475,0.427,0.253,0.242,0.117,0.095,0.116,0.176,0.882,0.687,0.61,0.141,8.993675786759683
Granville,0,0.241,0.5,2.38,2.258,0.418,1.027,0.531,0.458,0.158,0.099,0.216,0.183,0.405,0.732,0.63,0.632,0.192,11.037981653092004
Greene,6,0.202,0.5,2.528,2.516,0.0,0.499,0.0,0.07,0.088,0.033,0.215,0.142,0.257,0.808,0.529,0.632,0.228,9.929642510012979
GuilfordW,8,0.415,0.2,2.616,1.226,0.948,0.981,0.738,0.723,0.171,0.123,0.214,0.142,0.633,0.088,0.245,0.929,0.127,12.611090987186401
GuilfordE,11,0.415,0.2,2.616,1.226,0.948,0.981,0.738,0.723,0.171,0.123,0.214,0.142,0.633,0.088,0.245,0.929,0.127,12.429216196844383
Halifax,10,0.186,0.4,2.34,1.29,0.326,0.311,0.194,0.207,0.131,0.109,0.235,0.156,1.0,0.581,0.426,0.838,0.229,10.764223290287964
Harnett,9,0.306,0.4,2.388,2.774,1.216,1.525,0.65,0.455,0.141,0.105,0.219,0.192,0.54,0.448,0.687,0.632,0.211,11.859892438684083
Haywood,1,0.24,0.4,0.768,2.839,0.302,0.962,0.809,0.574,0.25,0.052,0.193,0.11,0.333,0.567,0.339,0.824,0.114,11.050397820778638
Henderson,1,0.331,0.2,1.436,2.516,0.67,1.478,0.782,0.676,0.24,0.076,0.18,0.137,0.176,0.394,0.219,0.663,0.139,11.688809679800178
Hertford,6,0.169,0.5,2.3,0.968,0.912,1.445,0.421,0.25,0.072,0.109,0.203,0.132,0.633,0.726,0.508,0.523,0.243,9.875756578797818
Hoke,7,0.258,0.2,2.908,1.677,0.228,0.0,0.661,0.389,0.145,0.067,0.184,0.183,0.691,0.711,0.581,0.478,0.168,10.904964663771006
Hyde,2,0.0,0.5,2.092,2.581,0.216,0.902,0.542,0.136,0.04,0.24,0.22,0.093,0.571,0.996,0.213,0.351,0.211,8.435332164935916
Iredell,5,0.34,0.1,1.776,3.032,0.528,1.506,0.787,0.646,0.194,0.141,0.221,0.236,0.296,0.342,0.492,0.782,0.144,12.204621593262859
Jackson,1,0.219,0.5,1.62,2.258,1.32,1.209,0.711,0.586,0.248,0.091,0.168,0.137,0.333,0.596,0.132,0.752,0.098,10.704906008379862
Johnston,6,0.329,0.1,2.2,2.71,0.336,2.0,0.694,0.538,0.129,0.094,0.233,0.151,0.176,0.465,0.72,0.587,0.179,12.396507037434679
Jones,10,0.084,0.4,2.084,2.774,1.158,1.046,0.525,0.29,0.083,0.08,0.203,0.105,0.54,0.843,0.596,0.563,0.198,9.148571345578551
Lee,9,0.315,0.4,2.408,2.516,0.518,0.672,0.444,0.397,0.145,0.093,0.179,0.183,0.37,0.592,0.437,0.752,0.199,11.113328107889947
Lenoir,10,0.253,0.4,2.404,2.194,1.162,1.011,0.291,0.218,0.095,0.077,0.226,0.132,0.507,0.629,0.271,0.744,0.217,10.913177548668832
Lincoln,13,0.332,0.1,1.236,3.484,0.786,0.538,0.722,0.525,0.187,0.115,0.193,0.228,0.257,0.523,0.687,0.536,0.138,11.468712310293903
